Asset name,Files & media,Status
proposta rosa shocking,,2nd draft
proposta rosa leggero,,2nd draft
proposta verde acido,,2nd draft
test - testa,,1st draft
minimal logo,,In progress
black metal logo 2,,In progress
,,In progress
Occhio Neo,,Final version
Texture/sfondi 7,,In progress
Texture/sfondi 6,,In progress
Texture/sfondi 5,,In progress
Texture/sfondi 4,,In progress
texture/sfondi 3,,In progress
texture/sfondi 2,,In progress
texture/sfondi 1,,In progress
logo simple,,Not started
old logo,,Not started
ghostboy,,Not started
tv vuota,,Not started
tv pulita,,Not started
logo,,Not started
fkuc,,Not started
occhione,,Not started
yx,,Not started
ya,,Not started
yo,,Not started
domopak cornice cluster bianco e nero,,Not started
altro texture,,Not started
carta zozza 2,,Not started
carta zozza,,Not started
sfondo testi,,Not started
logo fb,,Final version
logo insta,,Final version
logo discord,,Final version
logo yt,,Final version
bandcamp logo,,Final version
Etsy logo,,Final version
svg occhio ma non proprio perfettissimo,,Not started
svg occhio 2 mica ho capito se è diverso da quell’altro,,Not started
occhio in jpeg grande,,Not started
retro occhio,,Not started
occhio senza nero intorno,,Not started
allega,,1st draft
carrello,,1st draft
condividi,,1st draft
ESC,,1st draft
info,,1st draft
mail,,1st draft
preorder purchase,,1st draft
clip rosa,,2nd draft
carrellorosa,,2nd draft
sharerosa,,2nd draft
escrosa,,2nd draft
inforosa,,2nd draft
preorderrosa,,2nd draft
bustarosa,,2nd draft
allega verde,,Not started
preorder verde,,Not started
carrelloverde,,Not started
condy verde,,Not started
escverde,,Not started
infoverde,,Not started
bustaverde,,Not started
polvere 1,,Not started
polvere 2,,Not started
polvere 3,,Not started
polvere 4,,Not started
polvere 5,,Not started
polvere 6,,Not started
bande nere calendario,,Not started
sfondo bianco calendario,,Not started
sfondo calendario (polvere 6) già hd izzato,,Not started
360 x 800 sfondo cellulare caledario,,Not started
360 x 800 sfondo bianco caledario,,Not started
360 x 800 bande nere cellulare caledario,,Not started
DESKTOP 6 - sfondo nero,,Not started
DESKTOP 6 - sfondo bianco carta visione immagini,,Not started
CELLULARE visione immagini (desktop 6 ma cellulare),,Not started
sfondo nero visione immagini (DESKTOP 6 Ma cellulare),,Not started
1,,Not started
2,,Not started
3,,Not started
4,,Not started
6,,Not started
7,,Not started
big boom,,Not started
non ne sono sicuro,,Not started
cuoricino,,Not started
mini bomb,,Not started
,,Not started
?,,Not started
grid,,Not started
fotocopye,,Not started
penziero,,Not started
fumetto,,Not started
?,,Not started
inizio?!,,Final version
,,1st draft
sfondo tipo questo x NeON,,1st draft
sfondo meglio,,2nd draft
coniglione,,Not started
varchicomics,,Not started
tshirt 1,,Not started
t shirt 2,,Not started
t shirt 3,,Not started
freccia rosa,,Not started
freccia verde,,Not started
più rosa,,Not started
più verde,,Not started
desktop view calendar 1,,Not started
desktop view calendar 2,,Not started
desktop view calendar 3,,Not started
cellulare banda 1,,Not started
cellulare banda 2,,Not started
cellulare banda 3,,Not started
cellulare banda 4,,Not started
cellulare banda 5,,Not started
RUMORE 1 - 1984hc - bipensiero - 2010,,Not started
RUMORE 2 - Lizard Queen - Lizard queen 2012,,Not started
RUMORE 3 - lizard queen - third eye - 2015,,Not started
RUMORE 4 - lizard queen - cult of lotus - 2020,,Not started
"RUMORE 5 - zoe van dyne & Eliza Coetzee - then, the substanceless blue - 2015",,Not started
RUMORE 6 - metropolis - soma - 2013,,Not started
RUMORE 7 - zoe van dyne - roominghouse blues - 2017,,Not started
RUMORE 8 - zoe van dyne - the virus and the star - 2016,,Not started
RUMORE 9 - zoe van dyne -cornflake midnight - 2018,,Not started
neo logo rosa,,Not started
neo logo verde,,Not started
zebra,,Not started
