Asset name,Asset URL,Asset description,Asset type,Designer,Files & media,Files & media 1 (1),Last edited,Status
1,,,,,,,"March 23, 2026 6:46 PM",Not started
desktop view calendar 1,,,,,,,"March 23, 2026 6:46 PM",Not started
,,,,,,,"March 23, 2026 6:46 PM",1st draft
occhio in jpeg grande,,,,,,,"March 23, 2026 6:46 PM",Not started
clip rosa,,,,,,,"March 23, 2026 6:46 PM",2nd draft
bande nere calendario,,,,,,,"March 23, 2026 6:46 PM",Not started
condy verde,,,,,,,"March 23, 2026 6:46 PM",Not started
bandcamp logo,,,,,,,"March 23, 2026 6:46 PM",Final version
sfondo tipo questo x NeON,,,,,,,"March 23, 2026 6:46 PM",1st draft
Texture/sfondi 6,,,,,,,"March 23, 2026 6:46 PM",In progress
2,,,,,,,"March 23, 2026 6:46 PM",Not started
sfondo meglio,,,,,,,"March 23, 2026 6:46 PM",2nd draft
retro occhio,,,,,,,"March 23, 2026 6:46 PM",Not started
desktop view calendar 2,,,,,,,"March 23, 2026 6:46 PM",Not started
sfondo bianco calendario,,,,,,,"March 23, 2026 6:46 PM",Not started
tv pulita,,,,,,,"March 23, 2026 6:46 PM",Not started
,,,,,,,"March 23, 2026 6:46 PM",Not started
3,,,,,,,"March 23, 2026 6:46 PM",Not started
escverde,,,,,,,"March 23, 2026 6:46 PM",Not started
carrellorosa,,,,,,,"March 23, 2026 6:46 PM",2nd draft
Etsy logo,,,,,,,"March 23, 2026 6:46 PM",Final version
?,,,,,,,"March 23, 2026 6:46 PM",Not started
4,,,,,,,"March 23, 2026 6:46 PM",Not started
desktop view calendar 3,,,,,,,"March 23, 2026 6:46 PM",Not started
occhio senza nero intorno,,,,,,,"March 23, 2026 6:46 PM",Not started
proposta rosa shocking,,,,,,,"March 23, 2026 6:46 PM",2nd draft
Texture/sfondi 5,,,,,,,"March 23, 2026 6:46 PM",In progress
sfondo calendario (polvere 6) già hd izzato,,,,,,,"March 23, 2026 6:46 PM",Not started
coniglione,,,,,,,"March 23, 2026 6:46 PM",Not started
infoverde,,,,,,,"March 23, 2026 6:46 PM",Not started
grid,,,,,,,"March 23, 2026 6:46 PM",Not started
6,,,,,,,"March 23, 2026 6:46 PM",Not started
allega,,,,,,,"March 23, 2026 6:46 PM",1st draft
cellulare banda 1,,,,,,,"March 23, 2026 6:46 PM",Not started
360 x 800 sfondo cellulare caledario,,,,,,,"March 23, 2026 6:46 PM",Not started
sharerosa,,,,,,,"March 23, 2026 6:46 PM",2nd draft
logo,,,,,,,"March 23, 2026 6:46 PM",Not started
bustaverde,,,,,,,"March 23, 2026 6:46 PM",Not started
fotocopye,,,,,,,"March 23, 2026 6:46 PM",Not started
proposta rosa leggero,,,,,,,"March 23, 2026 6:46 PM",2nd draft
carrello,,,,,,,"March 23, 2026 6:46 PM",1st draft
cellulare banda 2,,,,,,,"March 23, 2026 6:46 PM",Not started
svg occhio ma non proprio perfettissimo,,,,,,,"March 23, 2026 6:46 PM",Not started
Texture/sfondi 4,,,,,,,"March 23, 2026 6:46 PM",In progress
7,,,,,,,"March 23, 2026 6:46 PM",Not started
varchicomics,,,,,,,"March 23, 2026 6:46 PM",Not started
360 x 800 sfondo bianco caledario,,,,,,,"March 23, 2026 6:46 PM",Not started
penziero,,,,,,,"March 23, 2026 6:46 PM",Not started
polvere 1,,,,,,,"March 23, 2026 6:46 PM",Not started
escrosa,,,,,,,"March 23, 2026 6:46 PM",2nd draft
condividi,,,,,,,"March 23, 2026 6:46 PM",1st draft
cellulare banda 3,,,,,,,"March 23, 2026 6:46 PM",Not started
fumetto,,,,,,,"March 23, 2026 6:46 PM",Not started
fkuc,,,,,,,"March 23, 2026 6:46 PM",Not started
big boom,,,,,,,"March 23, 2026 6:46 PM",Not started
360 x 800 bande nere cellulare caledario,,,,,,,"March 23, 2026 6:46 PM",Not started
polvere 2,,,,,,,"March 23, 2026 6:46 PM",Not started
ESC,,,,,,,"March 23, 2026 6:46 PM",1st draft
cellulare banda 4,,,,,,,"March 23, 2026 6:46 PM",Not started
?,,,,,,,"March 23, 2026 6:46 PM",Not started
non ne sono sicuro,,,,,,,"March 23, 2026 6:46 PM",Not started
polvere 3,,,,,,,"March 23, 2026 6:46 PM",Not started
DESKTOP 6 - sfondo nero,,,,,,,"March 23, 2026 6:46 PM",Not started
tshirt 1,,,,,,,"March 23, 2026 6:46 PM",Not started
info,,,,,,,"March 23, 2026 6:46 PM",1st draft
proposta verde acido,,,,,,,"March 23, 2026 6:46 PM",2nd draft
svg occhio 2 mica ho capito se è diverso da quell’altro,,,,,,,"March 23, 2026 6:46 PM",Not started
texture/sfondi 3,,,,,,,"March 23, 2026 6:46 PM",In progress
inizio?!,,,,,,,"March 23, 2026 6:46 PM",Final version
inforosa,,,,,,,"March 23, 2026 6:46 PM",2nd draft
occhione,,,,,,,"March 23, 2026 6:46 PM",Not started
polvere 4,,,,,,,"March 23, 2026 6:46 PM",Not started
cuoricino,,,,,,,"March 23, 2026 6:46 PM",Not started
cellulare banda 5,,,,,,,"March 23, 2026 6:46 PM",Not started
DESKTOP 6 - sfondo bianco carta visione immagini,,,,,,,"March 23, 2026 6:46 PM",Not started
mail,,,,,,,"March 23, 2026 6:46 PM",1st draft
polvere 5,,,,,,,"March 23, 2026 6:46 PM",Not started
RUMORE 1 - 1984hc - bipensiero - 2010,,,,,,,"March 23, 2026 6:46 PM",Not started
t shirt 2,,,,,,,"March 23, 2026 6:46 PM",Not started
preorder purchase,,,,,,,"March 23, 2026 6:46 PM",1st draft
CELLULARE visione immagini (desktop 6 ma cellulare),,,,,,,"March 23, 2026 6:46 PM",Not started
mini bomb,,,,,,,"March 23, 2026 6:46 PM",Not started
test - testa,,,,,,,"March 23, 2026 6:46 PM",1st draft
texture/sfondi 2,,,,,,,"March 23, 2026 6:46 PM",In progress
carta zozza,,,,,,,"March 23, 2026 6:46 PM",Not started
yx,,,,,,,"March 23, 2026 6:46 PM",Not started
preorderrosa,,,,,,,"March 23, 2026 6:46 PM",2nd draft
polvere 6,,,,,,,"March 23, 2026 6:46 PM",Not started
sfondo nero visione immagini (DESKTOP 6 Ma cellulare),,,,,,,"March 23, 2026 6:46 PM",Not started
RUMORE 2 - Lizard Queen - Lizard queen 2012,,,,,,,"March 23, 2026 6:46 PM",Not started
texture/sfondi 1,,,,,,,"March 23, 2026 6:46 PM",In progress
sfondo testi,,,,,,,"March 23, 2026 6:46 PM",Not started
t shirt 3,,,,,,,"March 23, 2026 6:46 PM",Not started
ya,,,,,,,"March 23, 2026 6:46 PM",Not started
minimal logo,,,,,,,"March 23, 2026 6:46 PM",In progress
bustarosa,,,,,,,"March 23, 2026 6:46 PM",2nd draft
logo fb,,,,,,,"March 23, 2026 6:46 PM",Final version
logo simple,,,,,,,"March 23, 2026 6:46 PM",Not started
freccia rosa,,,,,,,"March 23, 2026 6:46 PM",Not started
yo,,,,,,,"March 23, 2026 6:46 PM",Not started
allega verde,,,,,,,"March 23, 2026 6:46 PM",Not started
black metal logo 2,,,,,,,"March 23, 2026 6:46 PM",In progress
logo insta,,,,,,,"March 23, 2026 6:46 PM",Final version
old logo,,,,,,,"March 23, 2026 6:46 PM",Not started
freccia verde,,,,,,,"March 23, 2026 6:46 PM",Not started
domopak cornice cluster bianco e nero,,,,,,,"March 23, 2026 6:46 PM",Not started
preorder verde,,,,,,,"March 23, 2026 6:46 PM",Not started
logo discord,,,,,,,"March 23, 2026 6:46 PM",Final version
,,,,,,,"March 23, 2026 6:46 PM",In progress
ghostboy,,,,,,,"March 23, 2026 6:46 PM",Not started
più rosa,,,,,,,"March 23, 2026 6:46 PM",Not started
carrelloverde,,,,,,,"March 23, 2026 6:46 PM",Not started
logo yt,,,,,,,"March 23, 2026 6:46 PM",Final version
altro texture,,,,,,,"March 23, 2026 6:46 PM",Not started
Occhio Neo,,,,,,,"March 23, 2026 6:46 PM",Final version
RUMORE 3 - lizard queen - third eye - 2015,,,,,,,"March 23, 2026 6:46 PM",Not started
RUMORE 4 - lizard queen - cult of lotus - 2020,,,,,,,"March 23, 2026 6:46 PM",Not started
"RUMORE 5 - zoe van dyne & Eliza Coetzee - then, the substanceless blue - 2015",,,,,,,"March 23, 2026 6:46 PM",Not started
RUMORE 6 - metropolis - soma - 2013,,,,,,,"April 2, 2026 4:41 PM",Not started
RUMORE 7 - zoe van dyne - roominghouse blues - 2017,,,,,,,"March 23, 2026 6:46 PM",Not started
più verde,,,,,,,"March 23, 2026 6:46 PM",Not started
RUMORE 8 - zoe van dyne - the virus and the star - 2016,,,,,,,"March 23, 2026 6:46 PM",Not started
tv vuota,,,,,,,"March 23, 2026 6:46 PM",Not started
RUMORE 9 - zoe van dyne -cornflake midnight - 2018,,,,,,,"March 23, 2026 6:46 PM",Not started
neo logo rosa,,,,,,,"March 23, 2026 6:46 PM",Not started
neo logo verde,,,,,,,"March 23, 2026 6:46 PM",Not started
carta zozza 2,,,,,,,"March 23, 2026 6:46 PM",Not started
zebra,,,,,,,"March 23, 2026 6:46 PM",Not started
Texture/sfondi 7,,,,,,,"March 23, 2026 6:46 PM",In progress
